||
  778|2018-04-03 17:00:04|
  9695|2018-04-03 17:00:12|
  1949|2018-04-03 17:00:15|
  440|2018-04-03 17:00:19|
  1490|2018-04-03 17:00:25|
  1857|2018-04-03 17:00:39|
  169|2018-04-03 17:00:45|
  1370|2018-04-03 17:01:06|
  432|2018-04-03 17:01:09|
  2034|2018-04-03 17:01:26|
  1655|2018-04-03 17:02:23|
  1655|2018-04-03 17:02:25|
  929|2018-04-03 17:02:44|
  2032|2018-04-03 17:03:50|
  2058|2018-04-03 17:03:54|
  4|2018-04-03 17:03:57|
  123|2018-04-03 17:04:25|
  9744|2018-04-03 17:04:32|
  9670|2018-04-03 17:05:03|
  1619|2018-04-03 17:05:10|
  2010|2018-04-03 17:05:40|
  2101|2018-04-03 17:05:43|
  2029|2018-04-03 17:06:09|
  9|2018-04-03 17:06:14|
  551|2018-04-03 17:07:50|
  792|2018-04-03 17:07:53|
  1107|2018-04-03 17:07:58|
  9722|2018-04-03 17:08:32|
  2081|2018-04-03 17:09:15|
  2103|2018-04-03 17:09:23|
  2020|2018-04-03 17:09:44|
  9776|2018-04-03 17:12:22|
  600|2018-04-03 17:13:08|
  1988|2018-04-03 17:13:12|
  1294|2018-04-03 17:13:34|
  2099|2018-04-03 17:13:41|
  394|2018-04-03 17:14:18|
  640|2018-04-03 17:14:31|
  2057|2018-04-03 17:14:34|
  731|2018-04-03 17:14:40|
  2036|2018-04-03 17:15:40|
  2084|2018-04-03 17:15:55|
  288|2018-04-03 17:16:00|
  50|2018-04-03 17:16:12|
  1859|2018-04-03 17:16:34|
  1993|2018-04-03 17:18:41|
  1730|2018-04-03 17:18:58|
  2100|2018-04-03 17:19:41|
  793|2018-04-03 17:20:00|
  1899|2018-04-03 17:20:24|
  1944|2018-04-03 17:21:37|
  2089|2018-04-03 17:23:46|
  250|2018-04-03 17:25:06|
  2039|2018-04-03 17:25:48|
  866|2018-04-03 17:26:20|
  2005|2018-04-03 17:28:08|
  2005|2018-04-03 17:28:10|
  247|2018-04-03 17:29:08|
  1821|2018-04-03 17:31:25|
  528|2018-04-03 17:32:06|
  2035|2018-04-03 17:32:36|
  1896|2018-04-03 17:32:49|
  1998|2018-04-03 17:38:45|
  1858|2018-04-03 17:39:17|
  989|2018-04-03 17:42:17|
  2040|2018-04-03 17:46:33|
  807|2018-04-03 17:49:16|
  935|2018-04-03 17:50:02|
  2090|2018-04-03 17:54:01|
  9531|2018-04-03 18:04:18|
  1994|2018-04-03 18:06:20|
  2092|2018-04-03 18:10:31|
  62|2018-04-03 18:12:27|
  9551|2018-04-03 18:12:56|
  2095|2018-04-03 18:19:14|
  2091|2018-04-03 18:19:54|
  1249|2018-04-03 18:21:53|
  2062|2018-04-03 18:22:54|
  105|2018-04-03 18:23:18|
  9622|2018-04-03 18:23:28|
  9622|2018-04-03 18:23:31|
  9742|2018-04-03 18:29:00|
  9611|2018-04-03 18:33:27|
  9668|2018-04-03 18:38:52|
  9668|2018-04-03 18:38:57|
  9720|2018-04-03 18:39:27|
  9615|2018-04-03 18:41:00|
  9443|2018-04-03 18:41:29|
  1848|2018-04-03 18:42:49|
  1848|2018-04-03 18:42:54|
  9685|2018-04-03 18:45:12|
  9685|2018-04-03 18:45:14|
  9410|2018-04-03 18:52:51|
  9410|2018-04-03 18:52:52|
  2088|2018-04-03 19:00:30|
  9547|2018-04-03 19:00:57|
  9765|2018-04-03 19:02:19|
  9689|2018-04-03 19:02:33|
  9671|2018-04-03 19:02:38|
  9587|2018-04-03 19:02:42|
  1948|2018-04-03 19:03:50|
  1795|2018-04-03 19:03:56|
  78|2018-04-03 19:04:09|
  9596|2018-04-03 19:04:29|
  9732|2018-04-03 19:04:31|
  9767|2018-04-03 19:04:50|
  9729|2018-04-03 19:05:24|
